Asset_ID,Asset_Name,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Install_Date,Warranty_End,Expected_EOL,Lifecycle_Status,Current_Status,Location_ID,Business_Unit,Criticality,Environment,Replacement_Cost_CAD
AST-0003440,LAP-0003440,Laptop,HP,EliteBook 840 G8,97J610F5TP,2022-08-18,2022-09-27,2027-09-26,2026-01-31,Past EOL,In Service,LOC-0066,Cybersecurity,Low,Development,1500
AST-0003441,LAP-0003441,Laptop,Lenovo,ThinkPad T14 Gen 2,6DEXIFH93Q,2022-04-09,2022-04-22,2027-04-21,2026-02-28,Past EOL,Quarantined,LOC-0055,Retail Banking,Medium,Test,1500
AST-0003442,LAP-0003442,Laptop,Dell,Latitude 5420,0G7CEDV8TX,2024-01-12,2024-01-24,2029-01-22,2026-03-31,Past EOL,In Service,LOC-0032,Legal & Compliance,High,Development,1450
AST-0003443,LAP-0003443,Laptop,Apple,MacBook Air M2,XCSXCXU9P7,2025-03-14,2025-04-21,2030-04-20,2027-07-31,EOL within 24 months,In Service,LOC-0055,Operations,Medium,Test,1650
AST-0003444,LAP-0003444,Laptop,Dell,Latitude 5420,SEEI17X9SG,2024-01-09,2024-01-19,2029-01-17,2026-03-31,Past EOL,Retired,LOC-0145,Wealth Management,Critical,Test,1450
AST-0003445,LAP-0003445,Laptop,Lenovo,ThinkPad T14 Gen 2,9QX3PBORBK,2023-02-27,2023-04-01,2028-03-30,2026-02-28,Past EOL,Planned Refresh,LOC-0144,Retail Banking,Critical,Test,1500
AST-0003446,LAP-0003446,Laptop,Lenovo,ThinkPad T14 Gen 3,ZJJY8VYQ5U,2023-11-11,2023-11-22,2026-11-21,2027-05-31,EOL within 12 months,Planned Refresh,LOC-0089,Operations,Medium,Test,1600
AST-0003447,LAP-0003447,Laptop,HP,EliteBook 840 G8,KNU133GY1M,2022-06-08,2022-06-18,2025-06-17,2026-01-31,Past EOL,Retired,LOC-0068,Finance,High,Production,1500
AST-0003448,LAP-0003448,Laptop,HP,EliteBook 850 G9,J24TJMJIQ3,2024-04-01,2024-05-04,2028-05-03,2027-04-30,EOL within 12 months,In Service,LOC-0107,Technology,High,Production,1650
AST-0003449,LAP-0003449,Laptop,Dell,Latitude 7440,YCR95N28KX,2025-08-01,2025-08-14,2028-08-13,2028-04-30,EOL within 24 months,Planned Refresh,LOC-0067,Capital Markets,Medium,Test,1850
AST-0003450,LAP-0003450,Laptop,HP,EliteBook 840 G8,MERND57GHX,2023-11-30,2024-01-12,2028-01-11,2026-01-31,Past EOL,Retired,LOC-0150,Retail Banking,High,Test,1500
AST-0003451,LAP-0003451,Laptop,HP,EliteBook 850 G9,5V2NVKHA0T,2022-04-24,2022-05-19,2026-05-18,2027-04-30,EOL within 12 months,In Service,LOC-0134,Capital Markets,Medium,Production,1650
AST-0003452,LAP-0003452,Laptop,Apple,MacBook Air M2,RL0PSEX2VY,2026-03-09,2026-04-23,2031-04-22,2027-07-31,EOL within 24 months,Quarantined,LOC-0102,Technology,Low,Production,1650
AST-0003453,LAP-0003453,Laptop,Dell,Latitude 5420,2HMW4BQP3J,2024-01-03,2024-02-10,2029-02-08,2026-03-31,Past EOL,In Service,LOC-0122,Legal & Compliance,Critical,Test,1450
AST-0003454,LAP-0003454,Laptop,Lenovo,ThinkPad T14 Gen 3,D93H37K5ID,2022-05-14,2022-06-20,2027-06-19,2027-05-31,EOL within 12 months,Planned Refresh,LOC-0117,Retail Banking,Medium,Production,1600
AST-0003455,LAP-0003455,Laptop,Dell,Latitude 7440,M0AF63BLSL,2025-12-23,2026-02-06,2030-02-05,2028-04-30,EOL within 24 months,In Service,LOC-0109,Technology,Low,Test,1850
AST-0003456,LAP-0003456,Laptop,HP,EliteBook 850 G9,4WMRYKFB4E,2023-05-31,2023-06-11,2026-06-10,2027-04-30,EOL within 12 months,Quarantined,LOC-0022,Retail Banking,High,Test,1650
AST-0003457,LAP-0003457,Laptop,Dell,Latitude 5430,O0B2TKPZ0D,2022-10-02,2022-11-05,2026-11-04,2027-04-30,EOL within 12 months,In Service,LOC-0101,Data & Analytics,Low,Production,1550
AST-0003458,LAP-0003458,Laptop,Apple,MacBook Air M2,511VS0UFOH,2026-05-11,2026-05-20,2030-05-19,2027-07-31,EOL within 24 months,In Service,LOC-0021,Technology,Critical,Test,1650
AST-0003459,LAP-0003459,Laptop,Lenovo,ThinkPad T14 Gen 3,3OTH9RIQLD,2024-10-02,2024-10-17,2028-10-16,2027-05-31,EOL within 12 months,Quarantined,LOC-0115,Technology,Medium,Test,1600
AST-0003460,LAP-0003460,Laptop,Apple,MacBook Pro 14-inch M2 Pro,XVACIPSY0L,2024-01-14,2024-02-12,2028-02-11,2028-01-31,EOL within 24 months,In Service,LOC-0117,Human Resources,Medium,Test,2850
AST-0003461,LAP-0003461,Laptop,Dell,Latitude 7440,ZAYJZ7T6DO,2024-06-23,2024-07-22,2027-07-22,2028-04-30,EOL within 24 months,In Service,LOC-0151,Technology,Medium,Test,1850
AST-0003462,LAP-0003462,Laptop,Dell,Latitude 7440,QLMJ9K4KCA,2024-08-11,2024-09-04,2029-09-03,2028-04-30,EOL within 24 months,Quarantined,LOC-0009,Wealth Management,Low,Test,1850
AST-0003463,LAP-0003463,Laptop,Apple,MacBook Pro 14-inch M2 Pro,CUZ68YU3UG,2026-04-24,2026-06-08,2031-06-07,2028-01-31,EOL within 24 months,Retired,LOC-0133,Capital Markets,Medium,Production,2850
AST-0003464,LAP-0003464,Laptop,Lenovo,ThinkPad T14 Gen 2,UVZU078W3R,2023-04-07,2023-05-18,2028-05-16,2026-02-28,Past EOL,Quarantined,LOC-0009,Data & Analytics,High,Development,1500
AST-0003465,LAP-0003465,Laptop,Apple,MacBook Air M2,OEA0CMYZZJ,2023-10-24,2023-12-08,2026-12-07,2027-07-31,EOL within 24 months,Planned Refresh,LOC-0134,Retail Banking,Low,Production,1650
AST-0003466,LAP-0003466,Laptop,Apple,MacBook Pro 14-inch M2 Pro,4FX0AKN053,2024-08-08,2024-08-25,2028-08-24,2028-01-31,EOL within 24 months,In Service,LOC-0106,Technology,Low,Test,2850
AST-0003467,LAP-0003467,Laptop,Apple,MacBook Air M2,AE90I2HQ98,2025-08-12,2025-08-13,2029-08-12,2027-07-31,EOL within 24 months,In Service,LOC-0148,Capital Markets,Medium,Production,1650
AST-0003468,LAP-0003468,Laptop,Lenovo,ThinkPad T14 Gen 3,Q7XVT5322O,2023-05-30,2023-07-13,2028-07-11,2027-05-31,EOL within 12 months,Planned Refresh,LOC-0132,Retail Banking,Low,Test,1600
AST-0003469,LAP-0003469,Laptop,HP,EliteBook 840 G8,GFRD42YWBN,2023-10-04,2023-10-19,2028-10-17,2026-01-31,Past EOL,In Service,LOC-0087,Commercial Banking,Medium,Production,1500
AST-0003470,LAP-0003470,Laptop,Dell,Latitude 7440,D20GT5CTAY,2024-02-02,2024-02-20,2028-02-19,2028-04-30,EOL within 24 months,In Service,LOC-0010,Commercial Banking,High,Test,1850
AST-0003471,LAP-0003471,Laptop,Dell,Latitude 7440,G25AY0EE5J,2024-07-16,2024-08-21,2028-08-20,2028-04-30,EOL within 24 months,Quarantined,LOC-0084,Capital Markets,Medium,Test,1850
AST-0003472,LAP-0003472,Laptop,Dell,Latitude 5430,L3BEGJ35JD,2023-06-25,2023-06-28,2028-06-26,2027-04-30,EOL within 12 months,In Service,LOC-0099,Data & Analytics,Low,Development,1550
AST-0003473,LAP-0003473,Laptop,Dell,Latitude 5430,50UCAIH0Z1,2025-02-06,2025-02-15,2028-02-15,2027-04-30,EOL within 12 months,In Service,LOC-0044,Commercial Banking,Medium,Test,1550
AST-0003474,LAP-0003474,Laptop,Lenovo,ThinkPad T14 Gen 2,6KGIBEZ23D,2024-04-11,2024-05-18,2029-05-17,2026-02-28,Past EOL,In Service,LOC-0035,Operations,Medium,Test,1500
AST-0003475,LAP-0003475,Laptop,Dell,Latitude 5420,AVSKXG57T2,2025-01-12,2025-01-18,2030-01-17,2026-03-31,Past EOL,Quarantined,LOC-0149,Capital Markets,High,Production,1450
AST-0003476,LAP-0003476,Laptop,Lenovo,ThinkPad T14 Gen 2,WU725RIXVX,2024-08-26,2024-09-16,2027-09-16,2026-02-28,Past EOL,In Service,LOC-0159,Technology,High,Production,1500
AST-0003477,LAP-0003477,Laptop,Dell,Latitude 5430,CK7A7K93S3,2024-03-13,2024-03-31,2027-03-31,2027-04-30,EOL within 12 months,Planned Refresh,LOC-0030,Cybersecurity,High,Production,1550
AST-0003478,LAP-0003478,Laptop,Lenovo,ThinkPad T14 Gen 3,WGGRPNXY9V,2026-01-20,2026-02-12,2030-02-11,2027-05-31,EOL within 12 months,In Service,LOC-0038,Technology,Low,Production,1600
AST-0003479,LAP-0003479,Laptop,HP,EliteBook 840 G8,MYQZ5P8C9Q,2024-07-30,2024-09-13,2027-09-13,2026-01-31,Past EOL,Retired,LOC-0014,Technology,High,Development,1500
AST-0003480,LAP-0003480,Laptop,Lenovo,ThinkPad T14 Gen 3,E2I0LWQBYA,2023-11-07,2023-11-09,2026-11-08,2027-05-31,EOL within 12 months,Retired,LOC-0059,Retail Banking,Critical,Development,1600
AST-0003481,LAP-0003481,Laptop,HP,EliteBook 850 G9,G7CY63FZKJ,2025-04-27,2025-05-30,2029-05-29,2027-04-30,EOL within 12 months,In Service,LOC-0142,Data & Analytics,High,Test,1650
AST-0003482,LAP-0003482,Laptop,HP,EliteBook 850 G9,D20EMTSWAA,2022-10-07,2022-11-04,2026-11-03,2027-04-30,EOL within 12 months,In Service,LOC-0134,Technology,Medium,Production,1650
AST-0003483,LAP-0003483,Laptop,Apple,MacBook Air M2,M0K1Y4FEOS,2023-07-16,2023-08-14,2028-08-12,2027-07-31,EOL within 24 months,In Service,LOC-0017,Commercial Banking,Medium,Production,1650
AST-0003484,LAP-0003484,Laptop,Lenovo,ThinkPad T14 Gen 2,AWPQSHE9G1,2022-05-03,2022-05-21,2026-05-20,2026-02-28,Past EOL,In Service,LOC-0058,Retail Banking,Medium,Production,1500
AST-0003485,LAP-0003485,Laptop,Apple,MacBook Air M2,WAGJM3P03C,2024-05-29,2024-07-13,2027-07-13,2027-07-31,EOL within 24 months,Planned Refresh,LOC-0012,Technology,Medium,Development,1650
AST-0003486,LAP-0003486,Laptop,Lenovo,ThinkPad T14 Gen 3,19WK59U5FY,2026-04-01,2026-04-17,2031-04-16,2027-05-31,EOL within 12 months,Retired,LOC-0089,Legal & Compliance,Medium,Development,1600
AST-0003487,LAP-0003487,Laptop,HP,EliteBook 840 G8,H435UK6KJE,2022-07-28,2022-08-18,2026-08-17,2026-01-31,Past EOL,Retired,LOC-0070,Operations,Low,Test,1500
AST-0003488,LAP-0003488,Laptop,Lenovo,ThinkPad T14 Gen 2,9KP86V60AK,2021-11-16,2021-12-26,2026-12-25,2026-02-28,Past EOL,In Service,LOC-0147,Capital Markets,Medium,Development,1500
AST-0003489,LAP-0003489,Laptop,HP,EliteBook 840 G8,K5HTGYC99Z,2021-02-17,2021-03-26,2025-03-25,2026-01-31,Past EOL,Retired,LOC-0114,Finance,High,Test,1500
AST-0003490,LAP-0003490,Laptop,Dell,Latitude 7440,0KF98P6N6N,2025-03-13,2025-03-20,2028-03-19,2028-04-30,EOL within 24 months,In Service,LOC-0027,Retail Banking,Critical,Test,1850
AST-0003491,LAP-0003491,Laptop,HP,EliteBook 850 G9,L4BM3AXW41,2023-06-30,2023-07-01,2026-06-30,2027-04-30,EOL within 12 months,Quarantined,LOC-0076,Cybersecurity,High,Production,1650
AST-0003492,LAP-0003492,Laptop,HP,EliteBook 850 G9,9M8FSZ4NF1,2025-06-05,2025-06-24,2028-06-23,2027-04-30,EOL within 12 months,Planned Refresh,LOC-0068,Operations,Critical,Development,1650
AST-0003493,LAP-0003493,Laptop,Lenovo,ThinkPad T14 Gen 3,7NY16OAHNM,2026-04-03,2026-04-10,2031-04-09,2027-05-31,EOL within 12 months,Planned Refresh,LOC-0101,Retail Banking,High,Development,1600
AST-0003494,LAP-0003494,Laptop,Dell,Latitude 5430,UVW8KVOFLH,2024-10-03,2024-10-11,2027-10-11,2027-04-30,EOL within 12 months,Retired,LOC-0015,Wealth Management,High,Development,1550
AST-0003495,LAP-0003495,Laptop,Dell,Latitude 7440,9VKQKRHZO7,2026-01-25,2026-02-15,2029-02-14,2028-04-30,EOL within 24 months,In Service,LOC-0089,Wealth Management,High,Production,1850
AST-0003496,LAP-0003496,Laptop,Dell,Latitude 5420,H0MH742DY3,2023-10-19,2023-11-23,2027-11-22,2026-03-31,Past EOL,Quarantined,LOC-0123,Capital Markets,High,Development,1450
AST-0003497,LAP-0003497,Laptop,HP,EliteBook 840 G8,YD4NT4N8YN,2022-09-26,2022-11-05,2027-11-04,2026-01-31,Past EOL,Planned Refresh,LOC-0139,Technology,High,Test,1500
AST-0003498,LAP-0003498,Laptop,HP,EliteBook 850 G9,X5E2OFDWWD,2023-12-18,2024-01-15,2027-01-14,2027-04-30,EOL within 12 months,In Service,LOC-0053,Data & Analytics,Critical,Production,1650
AST-0003499,LAP-0003499,Laptop,HP,EliteBook 850 G9,NY476RRF2H,2024-06-02,2024-06-24,2028-06-23,2027-04-30,EOL within 12 months,In Service,LOC-0108,Wealth Management,Critical,Production,1650
AST-0003500,LAP-0003500,Laptop,Apple,MacBook Pro 14-inch M2 Pro,29QEJ6FDZ0,2025-04-24,2025-04-29,2029-04-28,2028-01-31,EOL within 24 months,In Service,LOC-0118,Technology,Medium,Test,2850
AST-0003501,LAP-0003501,Laptop,Lenovo,ThinkPad T14 Gen 2,GYVDPT6PKS,2022-07-09,2022-08-16,2027-08-15,2026-02-28,Past EOL,In Service,LOC-0066,Cybersecurity,Medium,Development,1500
AST-0003502,LAP-0003502,Laptop,Dell,Latitude 5420,IS1RAW0M18,2024-05-28,2024-07-06,2028-07-05,2026-03-31,Past EOL,In Service,LOC-0123,Risk,Low,Test,1450
AST-0003503,LAP-0003503,Laptop,HP,EliteBook 840 G8,TTNOOG9TVP,2022-01-31,2022-02-16,2027-02-15,2026-01-31,Past EOL,Retired,LOC-0011,Finance,Medium,Test,1500
AST-0003504,LAP-0003504,Laptop,Dell,Latitude 5430,PMNTXBJ31D,2022-08-09,2022-08-12,2025-08-11,2027-04-30,EOL within 12 months,Planned Refresh,LOC-0004,Legal & Compliance,High,Test,1550
AST-0003505,LAP-0003505,Laptop,Dell,Latitude 5430,LSG7D327KS,2024-06-20,2024-07-16,2029-07-15,2027-04-30,EOL within 12 months,In Service,LOC-0026,Commercial Banking,Low,Production,1550
AST-0003506,LAP-0003506,Laptop,Apple,MacBook Air M2,UZRT924G1I,2025-08-24,2025-08-25,2029-08-24,2027-07-31,EOL within 24 months,Planned Refresh,LOC-0123,Operations,Critical,Test,1650
AST-0003507,LAP-0003507,Laptop,Dell,Latitude 5430,IY13YM765W,2023-06-16,2023-07-21,2028-07-19,2027-04-30,EOL within 12 months,In Service,LOC-0154,Technology,Medium,Test,1550
AST-0003508,LAP-0003508,Laptop,Apple,MacBook Pro 14-inch M2 Pro,O1Z2QS3NXP,2024-02-19,2024-04-01,2027-04-01,2028-01-31,EOL within 24 months,Planned Refresh,LOC-0032,Human Resources,High,Production,2850
AST-0003509,LAP-0003509,Laptop,Lenovo,ThinkPad T14 Gen 2,3WP59I1H54,2021-05-08,2021-05-31,2024-05-30,2026-02-28,Past EOL,Planned Refresh,LOC-0036,Risk,Low,Production,1500
AST-0003510,LAP-0003510,Laptop,Apple,MacBook Air M2,0WCEY4IH9P,2026-01-09,2026-01-25,2030-01-24,2027-07-31,EOL within 24 months,Retired,LOC-0147,Technology,Medium,Production,1650
AST-0003511,LAP-0003511,Laptop,Dell,Latitude 7440,I8D2A9RW3H,2024-05-16,2024-06-06,2028-06-05,2028-04-30,EOL within 24 months,Retired,LOC-0048,Retail Banking,Medium,Production,1850
AST-0003512,LAP-0003512,Laptop,HP,EliteBook 850 G9,2XQFJO2L16,2022-04-06,2022-05-01,2027-04-30,2027-04-30,EOL within 12 months,Quarantined,LOC-0048,Finance,Medium,Production,1650
AST-0003513,LAP-0003513,Laptop,Dell,Latitude 5420,1YNTPLI69V,2023-10-20,2023-11-15,2028-11-13,2026-03-31,Past EOL,In Service,LOC-0150,Technology,Medium,Production,1450
AST-0003514,LAP-0003514,Laptop,Lenovo,ThinkPad T14 Gen 3,5XPIAYC1Y4,2024-05-15,2024-06-26,2028-06-25,2027-05-31,EOL within 12 months,Quarantined,LOC-0019,Wealth Management,High,Development,1600
AST-0003515,LAP-0003515,Laptop,Dell,Latitude 7440,FSP9BDVBMH,2024-06-10,2024-06-15,2027-06-15,2028-04-30,EOL within 24 months,Quarantined,LOC-0049,Retail Banking,Critical,Development,1850
AST-0003516,LAP-0003516,Laptop,Lenovo,ThinkPad T14 Gen 3,SAE6T36WXS,2023-01-18,2023-01-21,2027-01-20,2027-05-31,EOL within 12 months,Retired,LOC-0038,Risk,High,Test,1600
AST-0003517,LAP-0003517,Laptop,Lenovo,ThinkPad T14 Gen 2,NTTI909N78,2024-05-13,2024-05-24,2027-05-24,2026-02-28,Past EOL,Planned Refresh,LOC-0017,Data & Analytics,High,Test,1500
AST-0003518,LAP-0003518,Laptop,HP,EliteBook 850 G9,HA682KP8IX,2025-03-23,2025-04-01,2030-03-31,2027-04-30,EOL within 12 months,In Service,LOC-0054,Retail Banking,Low,Development,1650
AST-0003519,LAP-0003519,Laptop,Apple,MacBook Air M2,12JUNS8WGB,2025-05-27,2025-06-07,2029-06-06,2027-07-31,EOL within 24 months,In Service,LOC-0116,Retail Banking,Medium,Test,1650
AST-0003520,LAP-0003520,Laptop,Lenovo,ThinkPad T14 Gen 2,XJSSAE1PBT,2024-02-19,2024-02-22,2028-02-21,2026-02-28,Past EOL,Quarantined,LOC-0073,Technology,Medium,Test,1500
AST-0003521,LAP-0003521,Laptop,Apple,MacBook Pro 14-inch M2 Pro,51Q1PAB1JR,2025-01-22,2025-02-06,2030-02-05,2028-01-31,EOL within 24 months,Retired,LOC-0059,Technology,High,Test,2850
AST-0003522,LAP-0003522,Laptop,Apple,MacBook Air M2,5V7WYH1XA0,2023-11-03,2023-12-12,2027-12-11,2027-07-31,EOL within 24 months,In Service,LOC-0086,Commercial Banking,High,Test,1650
AST-0003523,LAP-0003523,Laptop,HP,EliteBook 850 G9,SJ37PX9CW2,2023-07-18,2023-08-04,2027-08-03,2027-04-30,EOL within 12 months,In Service,LOC-0021,Operations,High,Development,1650
AST-0003524,LAP-0003524,Laptop,Lenovo,ThinkPad T14 Gen 3,UKAQLGXUDZ,2024-04-12,2024-04-21,2029-04-20,2027-05-31,EOL within 12 months,In Service,LOC-0044,Capital Markets,Low,Development,1600
AST-0003525,LAP-0003525,Laptop,Apple,MacBook Air M2,C74N0CDRTQ,2025-03-11,2025-04-05,2030-04-04,2027-07-31,EOL within 24 months,In Service,LOC-0103,Cybersecurity,High,Development,1650
AST-0003526,LAP-0003526,Laptop,Dell,Latitude 5430,4P7B7M1Y7T,2022-06-01,2022-06-22,2026-06-21,2027-04-30,EOL within 12 months,Planned Refresh,LOC-0106,Retail Banking,Low,Production,1550
AST-0003527,LAP-0003527,Laptop,HP,EliteBook 840 G8,P2HFDWZJUC,2022-04-22,2022-05-14,2026-05-13,2026-01-31,Past EOL,In Service,LOC-0142,Capital Markets,Medium,Production,1500
AST-0003528,LAP-0003528,Laptop,Apple,MacBook Pro 14-inch M2 Pro,MVOHF07273,2026-03-29,2026-05-01,2030-04-30,2028-01-31,EOL within 24 months,Retired,LOC-0068,Technology,Low,Test,2850
AST-0003529,LAP-0003529,Laptop,Dell,Latitude 5420,AFIVAQ9FR8,2024-01-11,2024-01-21,2027-01-20,2026-03-31,Past EOL,In Service,LOC-0125,Retail Banking,Medium,Development,1450
AST-0003530,LAP-0003530,Laptop,Lenovo,ThinkPad T14 Gen 3,DPMO044QCN,2023-05-25,2023-07-09,2027-07-08,2027-05-31,EOL within 12 months,In Service,LOC-0081,Legal & Compliance,High,Test,1600
AST-0003531,LAP-0003531,Laptop,Lenovo,ThinkPad T14 Gen 3,YWHB2F0Q15,2026-01-31,2026-03-01,2030-02-28,2027-05-31,EOL within 12 months,In Service,LOC-0120,Data & Analytics,Medium,Production,1600
AST-0003532,LAP-0003532,Laptop,Dell,Latitude 5430,K1ZJ4PZBS6,2025-02-25,2025-04-03,2028-04-02,2027-04-30,EOL within 12 months,In Service,LOC-0145,Retail Banking,Medium,Test,1550
AST-0003533,LAP-0003533,Laptop,Apple,MacBook Air M2,K47SL7K4K1,2025-07-15,2025-08-21,2029-08-20,2027-07-31,EOL within 24 months,Quarantined,LOC-0073,Technology,Medium,Test,1650
AST-0003534,LAP-0003534,Laptop,Lenovo,ThinkPad T14 Gen 3,PL1OUC89HV,2025-10-15,2025-10-27,2030-10-26,2027-05-31,EOL within 12 months,In Service,LOC-0127,Capital Markets,Medium,Development,1600
AST-0003535,LAP-0003535,Laptop,Lenovo,ThinkPad T14 Gen 3,8X4SVKKUC8,2022-10-26,2022-11-08,2027-11-07,2027-05-31,EOL within 12 months,In Service,LOC-0052,Risk,Low,Production,1600
AST-0003536,LAP-0003536,Laptop,Apple,MacBook Air M2,8DRYP7ZZ3F,2024-02-28,2024-03-08,2028-03-07,2027-07-31,EOL within 24 months,Planned Refresh,LOC-0060,Capital Markets,High,Test,1650
AST-0003537,LAP-0003537,Laptop,Dell,Latitude 5430,BUN9P1F9W2,2023-03-10,2023-03-11,2027-03-10,2027-04-30,EOL within 12 months,In Service,LOC-0038,Technology,Medium,Production,1550
AST-0003538,LAP-0003538,Laptop,HP,EliteBook 840 G8,4807P7J757,2023-04-11,2023-04-21,2027-04-20,2026-01-31,Past EOL,Planned Refresh,LOC-0075,Commercial Banking,Medium,Production,1500
AST-0003539,LAP-0003539,Laptop,Apple,MacBook Pro 14-inch M2 Pro,U68NZN1M65,2023-04-21,2023-05-04,2027-05-03,2028-01-31,EOL within 24 months,Quarantined,LOC-0013,Wealth Management,Low,Production,2850
AST-0003540,LAP-0003540,Laptop,Dell,Latitude 7440,9R14Y8M7XW,2025-03-02,2025-04-16,2029-04-15,2028-04-30,EOL within 24 months,Quarantined,LOC-0143,Commercial Banking,Medium,Production,1850
AST-0003541,LAP-0003541,Laptop,Dell,Latitude 5430,6SDT2T6FVQ,2026-04-10,2026-05-11,2031-05-10,2027-04-30,EOL within 12 months,In Service,LOC-0021,Risk,Medium,Development,1550
AST-0003542,LAP-0003542,Laptop,Dell,Latitude 5420,4951ABA6ZC,2023-12-27,2024-02-07,2028-02-06,2026-03-31,Past EOL,Retired,LOC-0018,Human Resources,Medium,Development,1450
AST-0003543,LAP-0003543,Laptop,Lenovo,ThinkPad T14 Gen 3,BB6757957K,2022-07-31,2022-08-28,2027-08-27,2027-05-31,EOL within 12 months,In Service,LOC-0085,Operations,Medium,Test,1600
AST-0003544,LAP-0003544,Laptop,Dell,Latitude 5430,G9P6D5JADF,2022-07-20,2022-07-30,2026-07-29,2027-04-30,EOL within 12 months,Quarantined,LOC-0076,Retail Banking,Medium,Test,1550
AST-0003545,LAP-0003545,Laptop,Dell,Latitude 5420,V6NBD9K5JS,2023-03-29,2023-04-25,2028-04-23,2026-03-31,Past EOL,Planned Refresh,LOC-0041,Treasury,Low,Development,1450
AST-0003546,LAP-0003546,Laptop,HP,EliteBook 850 G9,DTHVYTGVGM,2023-07-14,2023-07-16,2026-07-15,2027-04-30,EOL within 12 months,Retired,LOC-0152,Risk,Critical,Test,1650
AST-0003547,LAP-0003547,Laptop,Dell,Latitude 7440,TFLWEST0HE,2025-08-25,2025-09-10,2029-09-09,2028-04-30,EOL within 24 months,Planned Refresh,LOC-0073,Wealth Management,Critical,Test,1850
AST-0003548,LAP-0003548,Laptop,Dell,Latitude 7440,GZQL15RNL3,2024-05-09,2024-05-18,2029-05-17,2028-04-30,EOL within 24 months,In Service,LOC-0133,Retail Banking,High,Test,1850
AST-0003549,LAP-0003549,Laptop,HP,EliteBook 840 G8,7P4BR2FXV8,2024-11-12,2024-12-02,2028-12-01,2026-01-31,Past EOL,In Service,LOC-0083,Capital Markets,Low,Production,1500
AST-0003550,LAP-0003550,Laptop,Dell,Latitude 5430,URMHNAJ1L9,2022-04-26,2022-06-10,2026-06-09,2027-04-30,EOL within 12 months,In Service,LOC-0026,Wealth Management,High,Test,1550
AST-0003551,LAP-0003551,Laptop,Apple,MacBook Pro 14-inch M2 Pro,QFO6UMQJJ8,2026-05-27,2026-06-15,2029-06-14,2028-01-31,EOL within 24 months,Quarantined,LOC-0128,Data & Analytics,Medium,Production,2850
AST-0003552,LAP-0003552,Laptop,Dell,Latitude 5430,56OF5CDFM3,2023-03-01,2023-03-12,2027-03-11,2027-04-30,EOL within 12 months,In Service,LOC-0152,Capital Markets,Low,Test,1550
AST-0003553,LAP-0003553,Laptop,Lenovo,ThinkPad T14 Gen 2,MS2VAPJC9R,2022-11-01,2022-11-05,2025-11-04,2026-02-28,Past EOL,Retired,LOC-0154,Risk,Low,Test,1500
AST-0003554,LAP-0003554,Laptop,HP,EliteBook 850 G9,VJCL6WXE6K,2025-01-18,2025-02-23,2028-02-23,2027-04-30,EOL within 12 months,In Service,LOC-0110,Data & Analytics,Critical,Development,1650
AST-0003555,LAP-0003555,Laptop,Apple,MacBook Pro 14-inch M2 Pro,LDVVOC7P2F,2026-06-01,2026-06-20,2029-06-19,2028-01-31,EOL within 24 months,In Service,LOC-0084,Retail Banking,High,Test,2850
AST-0003556,LAP-0003556,Laptop,HP,EliteBook 850 G9,D39WNPUDR0,2022-09-02,2022-09-04,2027-09-03,2027-04-30,EOL within 12 months,In Service,LOC-0093,Retail Banking,Critical,Test,1650
AST-0003557,LAP-0003557,Laptop,Apple,MacBook Air M2,H2ZN4L9CK0,2025-12-11,2026-01-16,2031-01-15,2027-07-31,EOL within 24 months,Quarantined,LOC-0080,Wealth Management,Medium,Test,1650
AST-0003558,LAP-0003558,Laptop,Apple,MacBook Air M2,8BQ44TO21Y,2023-03-25,2023-04-28,2028-04-26,2027-07-31,EOL within 24 months,Quarantined,LOC-0061,Capital Markets,High,Development,1650
AST-0003559,LAP-0003559,Laptop,Apple,MacBook Pro 14-inch M2 Pro,3WYBPYMRT3,2024-12-23,2025-01-24,2028-01-24,2028-01-31,EOL within 24 months,In Service,LOC-0151,Technology,Medium,Development,2850
AST-0003560,LAP-0003560,Laptop,HP,EliteBook 850 G9,B4HFAKGPPG,2024-01-09,2024-02-14,2028-02-13,2027-04-30,EOL within 12 months,Retired,LOC-0026,Technology,Low,Production,1650
AST-0003561,LAP-0003561,Laptop,Lenovo,ThinkPad T14 Gen 2,GSY7VH1YGL,2023-06-04,2023-06-10,2028-06-08,2026-02-28,Past EOL,Retired,LOC-0079,Technology,High,Production,1500
AST-0003562,LAP-0003562,Laptop,Dell,Latitude 7440,GPXSZPG8XM,2026-05-20,2026-05-24,2029-05-23,2028-04-30,EOL within 24 months,Retired,LOC-0020,Capital Markets,High,Production,1850
AST-0003563,LAP-0003563,Laptop,Lenovo,ThinkPad T14 Gen 2,YFLPBWTDG6,2023-06-19,2023-07-04,2027-07-03,2026-02-28,Past EOL,In Service,LOC-0136,Retail Banking,Medium,Development,1500
AST-0003564,LAP-0003564,Laptop,Apple,MacBook Pro 14-inch M2 Pro,WFEW012O78,2024-03-11,2024-04-14,2029-04-13,2028-01-31,EOL within 24 months,In Service,LOC-0144,Technology,Critical,Production,2850
AST-0003565,LAP-0003565,Laptop,Dell,Latitude 5420,0ZB7CV0ESS,2021-08-06,2021-08-09,2025-08-08,2026-03-31,Past EOL,In Service,LOC-0070,Capital Markets,Critical,Production,1450
